%   time (s) 	    East (m)	     North (m)	   Psi (rad)	    gyro (rad/s)   radar (m/s)
%--------------------------------------------------------------------------------------------------
   4.2200000e+01  -1.5658441e+02   5.3709652e+01   4.7126550e+00   1.9188000e-02   2.0460000e+00
   4.2400000e+01  -1.5703311e+02   5.3709433e+01   4.7047390e+00   5.5432000e-02   2.1331200e+00
   4.2600000e+01  -1.5746811e+02   5.3705937e+01   4.6975420e+00   5.2234000e-02   2.1225600e+00
   4.2800000e+01  -1.5790379e+02   5.3674372e+01   4.6986400e+00   4.4772000e-02   2.1410400e+00
   4.3000000e+01  -1.5833928e+02   5.3676757e+01   4.7069970e+00   5.4366000e-02   2.1463200e+00
   4.3200000e+01  -1.5878424e+02   5.3678692e+01   4.7029940e+00   5.4366000e-02   2.1278400e+00
   4.3400000e+01  -1.5922738e+02   5.3691652e+01   4.7060220e+00   5.6498000e-02   2.1278400e+00
   4.3600000e+01  -1.5965258e+02   5.3683266e+01   4.7074100e+00   6.6092000e-02   2.0856000e+00
   4.3800000e+01  -1.6007554e+02   5.3700099e+01   4.7157530e+00   4.2640000e-02   2.1014400e+00
   4.4000000e+01  -1.6051300e+02   5.3724843e+01   4.7155320e+00   1.8122000e-02   2.0988000e+00
   4.4200000e+01  -1.6099409e+02   5.3705968e+01   4.7161700e+00   2.4518000e-02   2.0988000e+00
   4.4400000e+01  -1.6142709e+02   5.3718901e+01   4.7143820e+00   3.9442000e-02   2.1067200e+00
   4.4600000e+01  -1.6185798e+02   5.3717251e+01   4.7089140e+00   4.2640000e-02   2.1040800e+00
   4.4800000e+01  -1.6230337e+02   5.3702399e+01   4.7096650e+00   3.6244000e-02   2.1780000e+00
   4.5000000e+01  -1.6274969e+02   5.3696973e+01   4.7070310e+00   2.9848000e-02   2.1674400e+00
   4.5200000e+01  -1.6320189e+02   5.3692554e+01   4.7027120e+00   5.2234000e-02   2.1542400e+00
   4.5400000e+01  -1.6364912e+02   5.3688036e+01   4.6958630e+00   5.1168000e-02   2.1489600e+00
   4.5600000e+01  -1.6408346e+02   5.3659522e+01   4.6980040e+00   7.7818000e-02   2.1542400e+00
   4.5800000e+01  -1.6446813e+02   5.3648248e+01   4.7022020e+00   6.2894000e-02   2.1172800e+00
   4.6000000e+01  -1.6491177e+02   5.3643793e+01   4.7033210e+00   4.9036000e-02   2.1199200e+00
   4.6200000e+01  -1.6534450e+02   5.3651930e+01   4.7071930e+00   6.7158000e-02   2.1278400e+00
   4.6400000e+01  -1.6577558e+02   5.3641020e+01   4.7094240e+00   5.4366000e-02   2.1384000e+00
   4.6600000e+01  -1.6621467e+02   5.3635108e+01   4.7046150e+00   4.2640000e-02   2.1252000e+00
   4.6800000e+01  -1.6664975e+02   5.3644509e+01   4.7065110e+00   2.1320000e-02   2.1384000e+00
   4.7000000e+01  -1.6708254e+02   5.3665566e+01   4.7079310e+00   2.9848000e-02   2.1014400e+00
   4.7200000e+01  -1.6752268e+02   5.3663345e+01   4.7025620e+00   3.9442000e-02   2.1120000e+00
   4.7400000e+01  -1.6799548e+02   5.3679311e+01   4.7034730e+00   3.0914000e-02   2.1648000e+00
   4.7600000e+01  -1.6843254e+02   5.3670125e+01   4.7014160e+00   4.3706000e-02   2.1727200e+00
   4.7800000e+01  -1.6887516e+02   5.3670331e+01   4.7095180e+00   4.9036000e-02   2.1938400e+00
   4.8000000e+01  -1.6930906e+02   5.3646307e+01   4.7063360e+00   4.3706000e-02   2.1357600e+00
